"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Numer CAS (c)","Numer WE (d)"
"987","4-amino-3-[[4′-[(2,4-diaminofenylo)azo] [1,1′-bifenylo]-4-ylo]azo]-5-hydroksy-6-(fenyloazo)naftaleno-2,7-disulfonian disodowy","1937-37-7","217-710-3"
"988","3,3′-[[1,1′-bifenylo]-4,4′-diylobis(azo)]bis[5-amino-4- hydroksynaftaleno-2,7-disulfonian] tetrasodowy","2602-46-2","220-012-1"
"989","4-o-tolilazo-o-toluidyna","97-56-3","202-591-2"
"990","4-aminoazobenzen","60-09-3","200-453-6"
"991","[5-[[4′-[[2,6-dihydroksy-3-[(2-hydroksy-5-sulfofenylo)azo]fenylo]azo][1,1′-bifenylo]-4-ylo]azo]salicylano(4-)] miedzian (II) disodowy","16071-86-6","240-221-1"
"992","Eter diglicydowy rezorcynolu","101-90-6","202-987-5"
"993","1,3-difenyloguanidyna","102-06-7","203-002-1"
"994","Heptachlor-epoksyd","1024-57-3","213-831-0"
"995","4-nitrozofenol","104-91-6","203-251-6"
"996","Karbendazym","10605-21-7","234-232-0"
"997","Eter allilowo-glicydylowy","106-92-3","203-442-4"
"998","Aldehyd chlorooctowy","107-20-0","203-472-8"
"999","Heksan","110-54-3","203-777-6"
"1000","2-(2-metoksyetoksy)etanol (eter monometylowy glikolu dietylenowego; DEGME)","111-77-3","203-906-6"
"1001","Eter (+/–)-2-(2,4-dichlorofenylo)-3-(1H-1,2,4-triazol-1-yl)propylo-1,1,2,2-tetrafluoroetylowy (tetrakonazol (ISO))","112281-77-3","407-760-6"
"1002","4-[4-(1,3-dihydroksyprop-2-ylo)fenyloamino]-1,8-dihydroksy-5- nitroantrachinon","114565-66-1","406-057-1"
"1003","5,6,12,13-tetrachloroantra(2,1,9-def:6,5,10-d’e’f’)diizochinolino-1,3,8,10(2H,9H)-tetron","115662-06-1","405-100-1"
"1004","Fosforan tris(2-chloroetylu)","115-96-8","204-118-5"
"1005","4′-etoksy-2-benzoimidazoloanilid","120187-29-3","407-600-5"
"1006","Diwodorotlenek niklu","12054-48-7","235-008-5"
"1007","N,N-dimetyloanilina","121-69-7","204-493-5"
"1008","Symazyna","122-34-9","204-535-2"
"1009","Bis(cyklopentadienylo)-bis(2,6-difluoro-3-(pirol-1-ilo)-fenylo)tytan","125051-32-3","412-000-1"
"1010","N,N,N′,N′-tetraglycidylo-4,4′-diamino-3,3′-dietylodifenylometan","130728-76-6","410-060-3"
"1011","Pentatlenek diwanadu","1314-62-1","215-239-8"
"1012","Sole zasadowe pentachlorofenolu","87-86-5/131-52-2/7778-73-6","201-778-6/205-025-2/231-911-3"
"1013","Fosfamidon","13171-21-6","236-116-5"
"1014","N-(trichlorometylotio)ftalimid (folpet (ISO))","133-07-3","205-088-6"
"1015","N-2-naftyloanilina","135-88-6","205-223-9"
"1016","Ziram","137-30-4","205-288-3"
"1017","1-bromo-3,4,5-trifluorobenzen","138526-69-9","418-480-9"
"1018","Propazyna","139-40-2","205-359-9"
"1019","Trichlorooctan 3-(4-chlorofenylo)-1,1-dimetylouroniowy; monuron-TCA (kwasu trichlorooctowego)","140-41-0","006-043-00-1"
"1020","Izoksaflutol","141112-29-0","606-054-00-7"
"1021","Krezoksym metylu","143390-89-0","607-310-00-0"
"1022","Chlorodekon","143-50-0","205-601-3"
"1023","9-winylokarbazol","1484-13-5","216-055-0"
"1024","Kwas 2-etyloheksanowy i jego sole z wyjątkiem wymienionych w innym miejscu w załączniku VI do rozporządzenia (WE) nr 1272/2008","149-57-5 / -","205-743-6 / -"
"1025","Monuron","150-68-5","205-766-1"
"1026","Chlorek morfolino-4-karbonylu","15159-40-7","239-213-0"
"1027","Daminozyd","1596-84-5","216-485-9"
"1028","Alachlor (ISO)","15972-60-8","240-110-8"
"1029","UVCB produkt kondensacji: chlorku tetrakis-hydroksymetylofosfoniowego, mocznika i destylowanej, uwodornionej C16-18 alikolaominy otrzymanej z łoju wołowego","166242-53-1","422-720-8"
"1030","Joksynil i oktanian joksynilu (ISO)","1689-83-4/3861-47-0","216-881-1/223-375-4"
"1031","Bromoksynil (ISO) (3,5-dibromo-4-hydroksybenzonitryl) i heptanian bromoksynilu (ISO)","1689-84-5/56634-95-8","216-882-7/260-300-4"
"1032","Oktanian 2,6-dibromo-4-cyjanofenylu","1689-99-2","216-885-3"
"1033","Przeniesiony lub skreślony",,
"1034","5-chloro-1,3-dihydro-2H-indol-2-on","17630-75-0","412-200-9"
"1035","Benomyl","17804-35-2","241-775-7"
"1036","Chlorotalonil","1897-45-6","217-588-1"
"1037","Chlorowodorek N′-(4-chloro-o-tolilo)-N,N-dimetyloformamidyny","19750-95-9","243-269-1"
"1038","4,4′-metylenobis(2-etyloanilina)","19900-65-3","243-420-1"
"1039","Amid waliny","20108-78-5","402-840-7"
"1040","[(p-toliloksy)metylo]oksiran","2186-24-5","218-574-8"
"1041","[(m-toliloksy)metylo]oksiran","2186-25-6","218-575-3"
"1042","Eter 2,3-epoksypropylowo o-tolilowy","2210-79-9","218-645-3"
"1043","[(toliloksy)metylo]oksiran, eter glicydowy krezylu","26447-14-3","247-711-4"
"1044","Di-allat","2303-16-4","218-961-1"
"1045","2,4-dibromobutanian benzylu","23085-60-1","420-710-8"
"1046","Trifluorojodometan","2314-97-8","219-014-5"
"1047","Tiofanat metylowy","23564-05-8","245-740-7"
"1048","Dodekachloropentacyklo[5.2.1. 02,6. 03,905,8]dekan (mireks)","2385-85-5","219-196-6"
"1049","Propyzamid","23950-58-5","245-951-4"
"1050","Eter butylowo glicydylowy","2426-08-6","219-376-4"
"1051","2,3,4-trichlorobut-1-en","2431-50-7","219-397-9"
"1052","Chinometionat","2439-01-2","219-455-3"
"1053","(-)-(1R,2S)-(1,2-epoksypropylo)fosfonian(R)-α-fenyloetyloamoniowy monohydrat","25383-07-7","418-570-8"
"1054","5-etoksy-3-trichlorometylo-1,2,4-tiadiazol (etridiazol -ISO)","2593-15-9","219-991-8"
"1055","Disperse Yellow 3","2832-40-8","220-600-8"
"1056","1,2,4-triazol","288-88-0","206-022-9"
"1057","Aldryna (ISO)","309-00-2","206-215-8"
"1058","Diuron (ISO)","330-54-1","206-354-4"
"1059","Linuron (ISO)","330-55-2","206-356-5"
"1060","Węglan niklu","3333-67-3","222-068-2"
"1061","3-(4-izopropylofenylo)-1,1-dimetylomocznik (izoproturon (ISO))","34123-59-6","251-835-4"
"1062","Iprodion","36734-19-7","253-178-9"
"1063","Przeniesiony lub skreślony",,
"1064","5-(2,4-diokso-1,2,3,4-tetrahydropirymidyno)-3-fluoro-2-hydroksymetyloterahydrofuran","41107-56-6","415-360-8"
"1065","Aldehyd krotonowy","4170-30-3","224-030-0"
"1066","N-etoksykarbonylo-N-(p-tolilosulfonylo) azanid heksahydrocyklopenta(c)pirolo-1-(1H)-amoniowy",,"418-350-1"
"1067","4,4′-karbonoimidoilbis[N,N-dimetyloanilina] i jej sole","492-80-8","207-762-5/612-097-00-2"
"1068","DNOK (ISO)","534-52-1","208-601-1"
"1069","Chlorek toluidyniowy","540-23-8","208-740-8"
"1070","Siarczan toluidyny (1:1)","540-25-0","208-741-3"
"1071","2-(4-tert-butylofenylo)etanol","5406-86-0","410-020-5"
"1072","Fention","55-38-9","200-231-9"
"1073","Chlordan","57-74-9","200-349-0"
"1074","Heksan-2-on (keton butylowo-metylowy)","591-78-6","209-731-1"
"1075","Fenarimol","60168-88-9","262-095-7"
"1076","Acetamid","60-35-5","200-473-5"
"1077","N-cykloheksylo-N-metoksy-2,5-dimetylo-3-furamid (furmecykloks -ISO)","60568-05-0","262-302-0"
"1078","Dieldryna","60-57-1","200-484-5"
"1079","4,4′-izobutyloetylidenodifenol","6807-17-6","401-720-1"
"1080","Chlorodimeform","6164-98-3","228-200-5"
"1081","Amitrol","61-82-5","200-521-5"
"1082","Karbaryl","63-25-2","200-555-0"
"1083","Destylaty (ropa naftowa) lekkie hydrokrakowane","64741-77-1","265-078-2"
"1084","Bromek 1-etylo-1-metylomorfoliny","65756-41-4","612-182-00-4"
"1085","(3-chlorofenylo)-(4-metoksy-3-nitrofenylo)metanon","66938-41-8","423-290-4"
"1086","Paliwa, diesel, z wyjątkiem sytuacji, gdy znany jest cały proces rafinowania i można udowodnić, że substancja, z której pochodzą, nie jest rakotwórcza","68334-30-5","269-822-7"
"1087","Olej opałowy, nr 2","68476-30-2","270-671-4"
"1088","Olej opałowy, nr 4","68476-31-3","270-673-5"
"1089","Paliwa, diesel, nr 2","68476-34-6","270-676-1"
"1090","2,2-dibromo-2-nitroetanol","69094-18-4","412-380-9"
"1091","Bromek 1-etylo-1-metylopirolidyny","69227-51-6","612-183-00-X"
"1092","Monokrotofos","6923-22-4","230-042-7"
"1093","Nikiel","7440-02-0","231-111-4"
"1094","Bromometan (bromek metylu (ISO))","74-83-9","200-813-2"
"1095","Chlorometan (chlorek metylu)","74-87-3","200-817-4"
"1096","Jodometan (jodek metylu)","74-88-4","200-819-5"
"1097","Bromoetan (bromek etylu)","74-96-4","200-825-8"
"1098","Heptachlor","76-44-8","200-962-3"
"1099","Wodorotlenek fentinu","76-87-9","200-990-6"
"1100","Siarczan niklu","7786-81-4","232-104-9"
"1101","3,5,5-trimetylocykloheks-2-enon (izoforon)","78-59-1","201-126-0"
"1102","2,3-dichloropropen","78-88-6","201-153-8"
"1103","Fluazifop-P-butylu (ISO)","79241-46-6","607-305-00-3"
"1104","Kwas (S)-2,3-dihydro-1H-indolo-karboksylowy","79815-20-6","410-860-2"
"1105","Toksafen","8001-35-2","232-283-3"
"1106","Chlorowodorek (4-hydrazynofenylo)-N-metylometanosulfonamidu","81880-96-8","406-090-1"
"1107","CI. Solvent Yellow 14","842-07-9","212-668-2"
"1108","Chlozolinat","84332-86-5","282-714-4"
"1109","Monochloroalkany, C10-13","85535-84-8","287-476-5"
"1110","Przeniesiony lub skreślony",,
"1111","2,4,6-trichlorofenol","88-06-2","201-795-9"
"1112","Chlorek dietylokarbamoilu","88-10-8","201-798-5"
"1113","1-winylo-2-pirolidon","88-12-0","201-800-4"
"1114","Miklobutanil (ISO) (2-(4-chlorofenylo)-2-(1H-1,2,4-triazol-1-ylmetylo)heksanonitryl)","88671-89-0","410-400-0"
"1115","Octan fentinu","900-95-8","212-984-0"
"1116","Bifenyl-2-ylamina","90-41-5","201-990-9"
"1117","Chlorowodorek trans-4-cycloheksylo-L-proliny","90657-55-9","419-160-1"
"1118","Diizocyjanian 2-metylo-m-fenylenu (2,6-diizocyjanian toluenu)","91-08-7","202-039-0"
"1119","Diizocyjanian 4-metylo-m-fenylenu (2,4-diizocyjanian toluenu)","584-84-9","209-544-5"
"1120","Diizocyjanian m-tolilidenu (diizocyjanian toluenu)","26471-62-5","247-722-4"
"1121","Paliwa, lotnicze Jet, hydrokrakowany ekstrakt węglowy, uwodorniony","94114-58-6","302-694-3"
"1122","Paliwa Diesla, hydrokrakowany ekstrakt węglowy, uwodorniony","94114-59-7","302-695-9"
"1123","Pak, jeśli zawiera > 0,005 % wagowych benzo[a]pirenu","61789-60-4","263-072-4"
"1124","Oksym 2-butanonu","96-29-7","202-496-6"
"1125","Węglowodory, C16-20, z odparafinowania rozpuszczalnikowego pozostałości po destylacji frakcji parafinowej z hydrokrakingu","97675-88-2","307-662-2"
"1126","α,α-dichlorotoluen","98-87-3","202-709-2"
"1127","Wełna mineralna z wyjątkiem tych, które zostały uwzględnione w innym miejscu tego załącznika; [syntetyczne włókna ceramiczne (krzemianowe), bez określonej orientacji z zawartościątlenków alkalicznych i metali ziem alkalicznych (Na2O + K2O + CaO + MgO + BaO) większąniż 18 % masy]",,
"1128","Produkt reakcji acetofenonu, formaldehydu, cykloheksylaminy, metanolu i kwasu octowego",,"406-230-1"
"1129","Przeniesiony lub skreślony",,
"1130","Przeniesiony lub skreślony",,
"1131","bis(7-acetamido-2-(4-nitro-2-oksydofenylazo)-3-sulfoniano-1-naftaleno) chromian(1-) trisodowy",,"400-810-8"
"1132","Mieszanina: 4-allilo-2,6-bis(2,3-epoksypropylo)fenol, 4-allilo-6-(3-(6-(3-(6-(3-(4-allilo-2,6-bis(2,3-epoksypropylo) fenoksy)2-hydroksypropylo)-4-allilo-2-(2,3-epoksypropylo)fenoksy)-2-hydroksypropylo)-4-allilo-2-(2,3-epoksypropylo)fenoksy-2-hydroksypropylo-2-(2,3-epoksypropylo)fenol, 4-allilo-6-(3-(4-allilo-2,6-bis(2,3-epoksypropylo)fenoksy)-2-hydroksypropylo)-2-(2,3-epoksypropylo)fenoksy)fenol i 4-allilo-6-(3-(6-(3-(4-allilo-2,6-bis(2,3-epoksypropylo)fenoksy)-2-hydroksypropylo)-4-allilo-2-(2,3-poksypropylo)fenoksy)2-hydroksypropylo)-2-(2,3-epoksypropylo)fenol",,"417-470-1"
"1133","Olejek z korzeni Kostus (Saussurea lappa Clarke), stosowany jako składnik zapachowy","8023-88-9",
"1134","7-etoksy-4-metylokumaryna, stosowana jako składnik zapachowy","87-05-8","201-721-5"
"1135","Heksahydrokumaryna, stosowana jako składnik zapachowy","700-82-3","211-851-4"
"1136","Surowy balsam peruwiański Myroxylon pereirae (Royle) Klotzsch, stosowany jako składnik zapachowy","8007-00-9","232-352-8"
"1137","Azotan (III) izobutylu","542-56-2","208-819-7"
"1138","Izopren (stabilizowany); (2-metylobuta-1,3-dien)","78-79-5","201-143-3"
"1139","1-bromopropan; bromek n-propylu","106-94-5","203-445-0"
"1140","Chloropren (stabilizowany); (2-chlorobuta-1,3-dien)","126-99-8","204-818-0"
"1141","1,2,3-trichloropropan","96-18-4","202-486-1"
"1142","Eter dimetylowy glikolu etylenowego (EGDME)","110-71-4","203-794-9"
"1143","Dinokap (ISO)","39300-45-3","254-408-0"
"1144","Diaminotoluen, produkt techniczny – mieszanina 4-metylo-m-fenylenodiaminy <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Informacje o poszczególnych składnikach, patrz: numer referencyjny 364 w załączniku II.'>(4)</span></sup> oraz 2-metylo-m-fenylenodiaminy <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Informacje o poszczególnych składnikach, patrz: numer referencyjny 413 w załączniku II.'>(5)</span></sup><br>Metylofenylenodiamina","25376-45-8","246-910-3"
"1145","Trichlorek p-chlorobenzylidynu","5216-25-1","226-009-1"
"1146","Eter difenylowy; pochodna oktabromowa","32536-52-0","251-087-9"
"1147","1,2-bis(2-metoksyetoksy)etan, eter dimetylowy glikolu trietylenowego (TEDGME)","112-49-2","203-977-3"
"1148","Tetrahydrotiopirano-3-karboaldehyd","61571-06-0","407-330-8"
"1149","4,4’-bis(dimetyloamino)benzofenon (Keton Michlera)","90-94-8","202-027-5"
"1150","4-metylobenzenosulfonian (S)-oksiranylometanolu","70987-78-9","417-210-7"
"1151","Ester dipentylowy kwasu 1,2-benzenodikarboksylowego, o rozgałęzionym i nierozgałęzionym łańcuchu węglowym [1]; Ftalan izopentylu n-pentylu [2]; Ftalan di-n-pentylu [3]; Ftalan diizopentylu [4]","84777-06-0 [1]; -[2]; 131-18-0 [3]; 605-50-5 [4]","284-032-2; - ; 205-017-9; 210-088-4"
"1152","Ftalan benzylu butylu (BBP)","85-68-7","201-622-7"
"1153","Estry di-C7-11-alkilowe, kwasu 1,2-benzenodikarboksylowego o łańcuchu prostym lub rozgałęzionym","68515-42-4","271-084-6"
"1154","Mieszanina: 4-(3-etoksykarbonylo-4-(5-(3-etoksykarbonylo-5-hydroksy-1-(4-sulfonianofenylo)pirazol-4-ilo)penta-2,4-dienylideno)-4,5-dihydro-5-oksopirazol-1-ilo)benzosulfonian disodu i 4-(3-etoksykarbonylo-4-(5-(3-etoksykarbonylo-5-oksydo-1-(4-sulfonianofenylo)pirazol-4-ilo)penta-2,4-dienylideno)-4,5-dihydro-5-oksopirazol-1-ilo)benzosulfonian trisodu",,"402-660-9"
"1155","Dichlorowodorek dichlorku (metylenobis-(4,1-fenylenoazo(1-(3-(dimetyloamino)-propylo)-1,2-dihydro-6-hydroksy-4-metylo-2-oksopirydyno-5,3-diilo)))-1,1’-dipirydynium",,"401-500-5"
"1156","2-[2-hydroksy-3-(2-chlorofenylo)-karbamoilo-1-naftyloazo]-7-[2-hydroksy-3-(3-metylofenylo)-karbamoilo-1-naftyloazo]fluoren-9-on",,"420-580-2"
"1157","Azafenidyna","68049-83-2",
"1158","2,4,5-trimetyloanilina [1]; Chlorowodorek 2,4,5-trimetyloaniliny [2]","137-17-7 [1]; 21436-97-5 [2]","205-282-0"
"1159","4,4’-tiodianilina i jej sole","139-65-1","205-370-9"
"1160","4,4’-oksydianilina (eter p-aminofenylowy) i jej sole","101-80-4","202-977-0"
"1161","N,N,N′,N′-tetrametylo-4,4′-metylenodianilina","101-61-1","202-959-2"
"1162","6-metoksy-m-toluidyna; (p-krezydyna)","120-71-8","204-419-1"
"1163","3-etylo-2-metylo-2-(3-metylobutylo)-1,3-oksazolidyna","143860-04-2","421-150-7"
"1164","Mieszanina: 1,3,5-tris(3-aminometylofenylo)-1,3,5-(1H,3H,5H)-triazyno-2,4,6-trion mieszanina oligomerów 3,5-bis-(3-aminometylofenylo)-1-poli[3,5-bis-(3-aminometylofenylo)-2,4,6-triokso-1,3,5-(1H,3H,5H)-triazyn-1-ylo]-1,3,5-(1H,3H,5H)-triazyno-2,4,6-trion",,"421-550-1"
"1165","2-nitrotoluen","88-72-2","201-853-3"
"1166","Fosforan (V) tributylu","126-73-8","204-800-2"
"1167","Naftalen","91-20-3","202-049-5"
"1168","Nonylofenol [1]; Rozgałęziony 4-nonylofenol [2]","25154-52-3 [1]; 84852-15-3 [2]","246-672-0; 284-325-5"
"1169","1,1,2-trichloroetan","79-00-5","201-166-9"
"1170","Przeniesiony lub skreślony",,
"1171","Przeniesiony lub skreślony",,
"1172","Chlorek allilu; (3-chloropropen)","107-05-1","203-457-6"
"1173","1,4-dichlorobenzen; (p-dichlorobenzen)","106-46-7","203-400-5"
"1174","Eter bis (2-chloroetylowy)","111-44-4","203-870-1"
"1175","Fenol","108-95-2","203-632-7"
"1176","Bisfenol A (4,4′-izopropylidenodifenol)","80-05-7","201-245-8"
"1177","Trioksymetylen (1,3,5-trioksan)","110-88-3","203-812-5"
"1178","Propargit (ISO)","2312-35-8","219-006-1"
"1179","1-chloro-4-nitrobenzen","100-00-5","202-809-6"
"1180","Molinat (ISO)","2212-67-1","218-661-0"
"1181","Fenpropimorf (ISO)","67564-91-4","266-719-9"
"1182","Przeniesiony lub usunięty",,
"1183","Izocyjanian metylu","624-83-9","210-866-3"
"1184","Tetrakis(pentafluorofenylo)boran N,N-dimetyloanilinium","118612-00-3","422-050-6"
"1185","O,O’-(etenylometylosilileno)di(oksym 4-metylopentan-2-onu)",,"421-870-1"
"1186","Mieszanina 2:1: tris(6-diazo-5,6-dihydro-5-oksonaftaleno-1-sulfonian)4-(7-hydroksy-2,4,4-trimetylochroman-2-ylo) rezorcynol-4-ilu, bis-(6-diazo-5,6-dihydro-5-oksonaftaleno-1-sulfonian)4-(7-hydroksy-2,4,4-trimetylochroman-2-ylo) rezorcynol","140698-96-0","414-770-4"
"1187","Mieszanina: produkt reakcji: 4,4’-metylenobis-[2-(4-hydroksybenzylo)-3,6-dimetylofenolu] oraz 6-diazo-5,6-dihydro-5-oksonaftalenosulfonianu (1:2) oraz produkt reakcji: 4,4’-metylenobis-[2-(4-hydroksybenzylo)-3,6-dimetylofenolu] oraz 6-diazo-5,6-dihydro-5-oksonaftalenosulfonianu (1:3)",,"417-980-4"
"1188","Chlorowodorek zieleni malachitowej [1]; Szczawian zieleni malachitowej [2]","569-64-2 [1], 18015-76-4 [2]","209-322-8; 241-922-5"
"1189","1-(4-chlorofenylo)-4,4-dimetylo-3-(1,2,4-triazol-1-ilometylo)pentan-3-ol","107534-96-3","403-640-2"
"1190","5-(3-butyrylo-2,4,6-trimetylofenylo)-2-[1-(etoksyimino)propylo]-3-hydroksycykloheks-2-en-1-on","138164-12-2","414-790-3"
"1191","trans-4-fenylo-L-prolina","96314-26-0","416-020-1"
"1192","Przeniesiony lub skreślony",,
"1193","Mieszanina: kwas 5-[(4-[(7-amino-1-hydroksy-3-sulfo-2-naftylo)azo]-2,5-dietoksyfenylo)azo)-2-[(3-fosfonofenylo)azo]benzoesowy oraz kwas 5-[(4-[(7-amino-1-hydroksy-3-sulfo-2-naftylo)azo]-2,5-dietoksyfenylo)azo)-3-[(3-fosfonofenylo)azo]benzoesowy","163879-69-4","418-230-9"
"1194","Mrówczan 2-{4-(2-amoniopropyloamino)-6-[4-hydroksy-3-(5-metylo-2-metoksy-4-sulfamoilofenyloazo)-2-sulfonianonaftalen-7-yloamino]-1,3,5-triazyn-2-yloamino}}-2-aminopropylu",,"424-260-3"
"1195","5-nitro-o-toluidyna [1]; Chlorowodorek 5-nitro-o-toluidyny [2]","99-55-8 [1]; 51085-52-0 [2]","202-765-8; 256-960-8"
"1196","Chlorek 1-(1-naftylometylo)chinolinium","65322-65-8","406-220-7"
"1197","(R)-5-bromo-3-(1-metylo-2-pirolidinylometylo)-1H-indol","143322-57-0","422-390-5"
"1198","Pimetrozyna (ISO)","123312-89-0","613-202-00-4"
"1199","Oksadiargil (ISO)","39807-15-3","254-637-6"
"1200","Chlorotoluron 3-(3-chloro-p-tolilo)-1,1-dimetylomocznik","15545-48-9","239-592-2"
"1201","N-[2-(3-acetylo-5-nitrotiofen-2-yloazo)-5-dietyloaminofenylo]acetamid",,"416-860-9"
"1202","1,3-bis(winylosulfonyloacetamido) propan","93629-90-4","428-350-3"
"1203","p-fenetydyna (4-etoksyanilina)","156-43-4","205-855-5"
"1204","m-fenylenodiamina i jej sole","108-45-2","203-584-7"
"1205","Pozostałości po destylacji oleju kreozotowego (smoła węglowa), redestylat oleju płuczkowego, jeżeli zawierają> 0,005 % wagowych benzo[a]pirenu","92061-93-3","295-506-3"
"1206","Olej kreozotowy, frakcja acenaftenowa; olej płuczkowy, jeżeli zawiera > 0,005 % wagowych benzo[a]pirenu","90640-84-9","292-605-3"
"1207","Olej kreozotowy, olej płuczkowy, jeżeli zawiera > 0,005 % wagowych benzo[a]piranu","61789-28-4","263-047-8"
"1208","Kreozot, olej płuczkowy, jeżeli zawiera > 0,005 % wagowych benzo[a]pirenu","8001-58-9","232-287-5"
"1209","Olej kreozotowy, destylat wysokowrzący, olej płuczkowy, jeżeli zawiera > 0,005 % wagowych benzo[a]pirenu","70321-79-8","274-565-9"
"1210","Pozostałości po ekstrakcji (węgiel), kwaśny olej kreozotowy, pozostałość po ekstrakcji oleju płuczkowego, jeżeli zawiera > 0,005 % wagowych benzo[a]pirenu","122384-77-4","310-189-4"
"1211","Olej kreozotowy, destylat niskowrzący, olej płuczkowy, jeżeli zawiera > 0,005 % wagowych benzo[a]pirenu","70321-80-1","274-566-4"
"1212","6-metoksy-2,3-pirydynodiamina i jej sól HCl, stosowane jako substancje w produktach do farbowania włosów","94166-62-8","303-358-9"
"1213","2,3-naftalenodiol, stosowany jako substancja w produktach do farbowania włosów","92-44-4","202-156-7"
"1214","2,4-diaminodifenyloamina, stosowana jako substancja w produktach do farbowania włosów","136-17-4",
"1215","2,6-Bis(2-hydroksyetoksy)-3,5-pirydynodiamina i jej sól HCl, stosowane jako substancje w produktach do farbowania włosów","117907-42-3",
"1216","2-metoksymetyl-p-aminofenol i jego sól HCl, stosowane jako substancje w produktach do farbowania włosów","135043-65-1/29785-47-5",
"1217","4,5-diamino-1-metylopirazol i jego sól HCl, stosowane jako substancje w produktach do farbowania włosów","20055-01-0/21616-59-1",
"1218","Siarczan 4,5-diamino-1-((4-chlorofenylo)metylo)-1H-pirazolu, stosowany jako substancja w produktach do farbowania włosów","163183-00-4",
"1219","4-chloro-2-aminofenol, stosowany jako substancja w produktach do farbowania włosów","95-85-2","202-458-9"
"1220","4-hydroksyindol, stosowany jako substancja w produktach do farbowania włosów","2380-94-1","219-177-2"
"1221","2,5-diamino-4-metoksytoluen i jego sól HCl, stosowane jako substancje w produktach do farbowania włosów","56496-88-9",
"1222","Siarczan 5-amino-4-fluoro-2-metylofenolu, stosowany jako substancja w produktach do farbowania włosów","163183-01-5",
"1223","N,N-dietyl-m-aminofenol, stosowany jako substancja w produktach do farbowania włosów","91-68-9/68239-84-9","202-090-9/269-478-8"
"1224","N,N-dimetylo-2,6-pirydynodiamina i jej sól HCl, stosowane jako substancje w produktach do farbowania włosów","—",
"1225","N-cyklopentyl-m-aminofenol, stosowany jako substancja w produktach do farbowania włosów","104903-49-3",
"1226","1 N-(2-metoksyetyl)-p-fenylenodiamina i jej sól HCl, stosowane jako substancje w produktach do farbowania włosów","72584-59-9/66566-48-1","276-723-2"
"1227","2,4-diamino-5-metylofenol i jego sól HCl, stosowane jako substancje w produktach do farbowania włosów","113715-25-6",
"1228","1,7-naftalenodiol, stosowany jako substancja w produktach do farbowania włosów","575-38-2","209-383-0"
"1229","Kwas 3,4-diaminobenzoesowy, stosowany jako substancja w produktach do farbowania włosów","619-05-6","210-577-2"
"1230","2-aminometylo-p-aminofenol i jego sól HCl, stosowane jako substancje w produktach do farbowania włosów","79352-72-0",
"1231","Solvent Red (CI 12150), stosowany jako substancja w produktach do farbowania włosów","1229-55-6","214-968-9"
"1232","Acid Orange 24 (CI 20170), stosowany jako substancja w produktach do farbowania włosów","1320-07-6","215-296-9"
"1233","Acid Red 73 (CI 27290), stosowany jako substancja w produktach do farbowania włosów","5413-75-2","226-502-1"
"1234","PEG-3,2′,2′-di-p-fenylenodiamina","144644-13-3",
"1235","6-nitro-o-toluidyna","570-24-1","209-329-6"
"1236","HC Yellow nr 11","73388-54-2",
"1237","HC Orange nr 3","81612-54-6",
"1238","HC Green nr 1","52136-25-1","257-687-7"
"1239","HC Red nr 8 i jej sole","13556-29-1/97404-14-3","-/306-778-0"
"1240","Tetrahydro-6-nitrochinoksalina i jej sole","158006-54-3/41959-35-7/73855-45-5",
"1241","Disperse Red 15, z wyjątkiem przypadku, kiedy występuje on jako zanieczyszczenie w barwniku Disperse Violet 1","116-85-8","204-163-0"
"1242","4-amino-3-fluorofenol","399-95-1","402-230-0"
"1243","N,N′-diheksadecylo-N,N′-bis(2-hydroksyetylo)propanodiamid Bishydroksyetylobiscetylomalonamid","149591-38-8","422-560-9"
"1244","1-metylo-2,4,5-trihydroksybenzen i jego sole stosowane jako substancje w produktach do farbowania włosów","1124-09-0","214-390-7"
"1245","2,6-dihydroksy-4-metylopirydyna i jej sole, stosowane jako substancje w produktach do farbowania włosów","4664-16-8","225-108-7"
"1246","5-hydroksy-1,4-benzodioksan i jego sole, stosowane jako substancje w produktach do farbowania włosów","10288-36-5","233-639-0"
"1247","3,4-metylenodioksyfenol i jego sole, stosowane jako substancje w produktach do farbowania włosów","533-31-3","208-561-5"
"1248","3,4-metylenodioksyanilina i jej sole, stosowane jako substancje w produktach do farbowania włosów","14268-66-7","238-161-6"
"1249","Hydroksypirydinon i jego sole, stosowane jako substancje w produktach do farbowania włosów","822-89-9","212-506-0"
"1250","3-nitro-4-aminofenoksyetanol i jego sole, stosowane jako substancje w produktach do farbowania włosów","50982-74-6",
"1251","2-metoksy-4-nitrofenol (4-nitrogwajakol) i jego sole, stosowane jako substancje w produktach do farbowania włosów","3251-56-7","221-839-0"
"1252","C.I. Acid Black 131 i jego sole, stosowane jako substancje w produktach do farbowania włosów","12219-01-1",
"1253","1,3,5-trihydroksybenzen (floroglucynol) i jego sole, stosowane jako substancje w produktach do farbowania włosów","108-73-6","203-611-2"
"1254","1,2,4-benzenotrioctan i jego sole, stosowane jako substancje w produktach do farbowania włosów","613-03-6","210-327-2"
