"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w słowniku wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Warunki i ostrzeżenia na opakowaniach (i)"
"238","Naftaleno-1,5-diol","1,5-Naphthalenediol","83-56-7","201-487-4","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 1,0 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,0 %","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne<br>Proszę przeczytać instrukcje i przestrzegać ich<br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"239","Hydroksypropylobis(N-hydroksyetylo-p-fenylenodiamina) i jej tetrachlorowodorek","Hydroxypropyl bis(N-hydroxyethyl-p-phenylenediamine) HCl","128729-30-6 / 128729-28-2","- / 416-320-2","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,4 % (w przeliczeniu na tetrachlorowodorek)","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne<br>Proszę przeczytać instrukcje i przestrzegać ich<br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"240","4-nitro-1,2-fenylenodiamina","4-Nitro-o-Phenylenediamine","99-56-9","202-766-3","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,5 %","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne<br>Proszę przeczytać instrukcje i przestrzegać ich<br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"241","5-Amino-o-krezol","4-Amino-2-Hydroxytoluene","2835-95-2","220-618-6","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) produkty przeznaczone do barwienia rzęs","b) tylko do użytku profesjonalnego","Dla a) i b): Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 1,5 %","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>b) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„Tylko do użytku profesjonalnego <br><i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie należy farbować rzęs, jeżeli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.”"
"242","2,4-diaminofenoksyetanol, jego chlorowodorek i jego siarczan","2,4-Diaminophenoxyethanol HCl 2,4-Diaminophenoxyethanol sulfate","70643-19-5 / 66422-95-5 / 70643-20-8","- / 266-357-1 / 274-713-2","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) produkty przeznaczone do barwienia rzęs","b) tylko do użytku profesjonalnego.","Dla a) i b): Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 2,0 % (w przeliczeniu na chlorowodorek)"," a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>b) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„Tylko do użytku profesjonalnego <br><i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.”"
"243","2-metylo-1,3-benzenodiol","2-Methylresorcinol","608-25-3","210-155-8","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów <br>c) Produkty przeznaczone do barwienia rzęs","b) 1,8 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,8 % <br>c) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na rzęsy nie może przekraczać 1,25 % c) Stosowanie profesjonalne","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>c) Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. Nie należy farbować rzęs, jeżeli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. Tylko do użytku profesjonalnego. W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.”"
"244","4-amino-m-krezol","4-Amino-m-Cresol","2835-99-6","220-621-2","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) produkty przeznaczone do barwienia rzęs","b) tylko do użytku profesjonalnego.","Dla a) i b): Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 1,5 %","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>b) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„Tylko do użytku profesjonalnego <br><i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.”"
"245","2-[(3-amino-4-metoksyfenylo) amino]etanol i jego siarczan","2-Amino-4-Hydroxyethylaminoanisole <br>2-Amino-4-Hydroxyethylaminoanisole sulfate","83763-47-7 / 83763-48-8","280-733-2 / 280-734-8","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) produkty przeznaczone do barwienia rzęs","b) tylko do użytku profesjonalnego.","Dla a) i b): <br>Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 1,5 % (w przeliczeniu na siarczan) <br>— nie używać z czynnikami nitrozującymi <br>— maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— przechowywać w pojemnikach niezawierających azotynów","a) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>b) na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„Tylko do użytku profesjonalnego <br><i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.”"
"246","Hydroksyetylo-3,4-metylenodioksyanilina i jej chlorowodorek","Hydroxyethyl-3,4-methylenedioxyaniline HCl","94158-14-2","303-085-5","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,5 % <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii<br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"247","2,2′-[[4-[(2-hydroksyetylo)amino]-3-nitrofenylo]imino]bisetanol <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>","HC Blue No 2","33229-34-4","251-410-3","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","2,8 %","— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","Może powodować reakcję alergiczną"
"248","4-[(2-hydroksyetylo)amino]-3-nitrofenol","3-Nitro-p-hydroxyethylaminophenol","65235-31-6","265-648-0","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 1,85 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 3,0 % <br>Dla a) i b): <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny” <br>b) „<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"249","1-(beta-ureidoetylo)amino-4-nitrobenzen","4-Nitrophenyl aminoethylurea","27080-42-8","410-700-1","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 0,5 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,25 % <br>Dla a) i b): <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"250","1-amino-2-nitro-4-(2’,3’-dihydroksypropylo)amino-5-chlorobenzen + 1,4-bis-(2’,3’-dihydroksypropylo)amino-2-nitro-5-chlorobenzen","HC Red. No. 10 + HC Red. No. 11","95576-89-9 + 95576-92-4",,"a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 2,0 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,0 % <br>Dla a) i b): <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich<br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"251","2-(4-amino-3-nitroanilino)etanol","HC Red. No. 7","24905-87-1","246-521-9","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","1,0 %","— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"252","2-amino-6-chloro-4-nitrofenol","2-Amino-6-chloro-4-nitrophenol","6358-09-4","228-762-1","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 2,0 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,0 %","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny” <br>b) „<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"253","2-[bis(2-hydroksyetylo)amino]-5-nitrofenol","HC Yellow No. 4","59820-43-8","428-840-7","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","1,5 %","— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów",
"254","5-amino-4-hydroksy-3-(fenyloazo)naftaleno-2,7-disulfonian disodu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dozwolone jest stosowanie wolnej zasady i soli tego składnika do farbowania włosów, chyba że zakazane jest to na mocy załącznika II.'>(17)</span></sup>; (CI 17200)","Acid Red 33","3567-66-6","222-656-9","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 %",,
"255","2-[(2-nitrofenylo)amino]etanol","HC Yellow No. 2","4926-55-0","225-555-8","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 1,0 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,75 % <br>Dla a) i b): <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich<br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"256","4-[(2-nitrofenylo)amino]fenol","HC Orange No. 1","54381-08-7","259-132-4","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","1,0 %",,
"257","Polidokanol","Laureth-9","3055-99-0","221-284-4","a) Produkty niespłukiwane <br>b) Produkty spłukiwane","a) 3,0 % <br>b) 4,0 %",,
"258","2-nitro-N1-fenylo-benzeno-1,4-diamina","HC Red. No. 1","2784-89-6","220-494-3","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","1,0 %",,"„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne <br>Proszę przeczytać instrukcje i przestrzegać ich<br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii<br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"259","Chlorowodorek 1-metoksy-3-(β-aminoetylo)amino-4-nitrobenzenu","HC Yellow No. 9","86419-69-4","415-480-1","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 % (w przeliczeniu na chlorowodorek)","— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów",
"260","1-(4’-aminofenylazo)-2-metylo-4-(bis-2-hydroksyetylo) aminobenzen","HC Yellow No. 7","104226-21-3","146-420-6","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,25 %",,
"261","N-(2-hydroksyetylo)-2-nitro-4-trifluormetylo-anilina","HC Yellow No. 13","10442-83-8","443-760-2","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 2,5 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,5 % <br>Dla a) i b): <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne<br>Proszę przeczytać instrukcje i przestrzegać ich <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"262","Chlorek benzenoaminy, 3-[(4,5-dihydro-3-metylo-5-okso-1-fenylo-1H-pirazolo-4-yl)azo]-N,N,Ntrimetylu","Basic Yellow 57","68391-31-1","269-943-5","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","2,0 %",,
"263","Etanol, 2,2’-[[4-[(4-aminofenylo)azo]fenylo]imino]bis-","Disperse Black 9","20721-50-0","243-987-5","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,3 % (w mieszaninie 2,2’-[4-(4- aminofenyloazo)fenyloimino]dietanolu i lignosiarczanu w proporcjach 1:1)",,
"264","9,10-antracenodion, 1,4-bis[(2,3-dihydroksypropylo)amino]-","HC Blue No. 14","99788-75-7","421-470-7","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,3 %","— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów",
